lambda_per_hour,seed,scheduler,total_arrivals,accepted,rejected,accept_rate,sla_rate,avg_delay_ms,p95_delay_ms,avg_control_delay_ms,p95_control_delay_ms,total_cost_cny,cost_per_accepted_cny,fallback_timeout,fallback_service_unavailable,fallback_illegal_action,policy_reject
4,0,best_fit,271,271,0,1.000000,1.000000,20.183571,39.968564,0.002758,0.003800,2336.166667,8.620541,0,0,0,0
4,1,best_fit,275,275,0,1.000000,1.000000,22.104029,39.968564,0.000366,0.000900,2349.987500,8.545409,0,0,0,0
4,2,best_fit,278,278,0,1.000000,1.000000,21.213747,39.968564,0.000287,0.000400,2234.695000,8.038471,0,0,0,0
4,3,best_fit,282,282,0,1.000000,1.000000,20.620455,39.968564,0.000765,0.000600,2272.858333,8.059781,0,0,0,0
4,4,best_fit,289,289,0,1.000000,1.000000,22.407370,39.968564,0.000256,0.000300,2463.496667,8.524210,0,0,0,0
4,0,local_regression_heuristic,271,271,0,1.000000,1.000000,14.863635,20.942282,0.002376,0.002400,2904.960833,10.719413,0,0,0,0
4,1,local_regression_heuristic,275,275,0,1.000000,1.000000,16.235673,20.942282,0.000368,0.000600,2942.232500,10.699027,0,0,0,0
4,2,local_regression_heuristic,278,278,0,1.000000,1.000000,14.381811,20.942282,0.000341,0.000400,2982.357500,10.727905,0,0,0,0
4,3,local_regression_heuristic,282,282,0,1.000000,1.000000,14.787806,20.942282,0.000555,0.000400,2944.640000,10.441986,0,0,0,0
4,4,local_regression_heuristic,289,289,0,1.000000,1.000000,16.226173,20.942282,0.000323,0.000400,3090.784167,10.694755,0,0,0,0
4,0,random_feasible,271,271,0,1.000000,1.000000,16.547193,31.121128,0.000626,0.000700,2722.971667,10.047866,0,0,0,0
4,1,random_feasible,275,275,0,1.000000,1.000000,18.821498,31.121128,0.000263,0.000200,2673.305833,9.721112,0,0,0,0
4,2,random_feasible,278,278,0,1.000000,1.000000,16.323772,30.163128,0.000158,0.000200,2755.428333,9.911613,0,0,0,0
4,3,random_feasible,282,282,0,1.000000,1.000000,16.567284,30.163128,0.000165,0.000300,2733.136667,9.691974,0,0,0,0
4,4,random_feasible,289,289,0,1.000000,1.000000,17.812452,31.121128,0.000119,0.000200,2893.993333,10.013818,0,0,0,0
4,0,ppo,284,0,284,0.000000,0.000000,0.000000,0.000000,5.131041,6.281600,0.000000,0.000000,0,0,0,284
4,1,ppo,276,0,276,0.000000,0.000000,0.000000,0.000000,4.169837,5.852300,0.000000,0.000000,0,0,0,276
4,2,ppo,284,0,284,0.000000,0.000000,0.000000,0.000000,4.032409,5.723900,0.000000,0.000000,0,0,0,284
4,3,ppo,287,0,287,0.000000,0.000000,0.000000,0.000000,3.986904,5.374900,0.000000,0.000000,0,0,0,287
4,4,ppo,283,0,283,0.000000,0.000000,0.000000,0.000000,3.887782,5.562200,0.000000,0.000000,0,0,0,283
8,0,best_fit,548,548,0,1.000000,1.000000,22.515313,39.968564,0.000241,0.000300,4248.613333,7.752944,0,0,0,0
8,1,best_fit,547,547,0,1.000000,1.000000,24.736319,39.968564,0.000234,0.000300,4085.438333,7.468809,0,0,0,0
8,2,best_fit,584,584,0,1.000000,1.000000,23.804550,39.968564,0.000226,0.000300,4273.847500,7.318232,0,0,0,0
8,3,best_fit,547,547,0,1.000000,1.000000,23.078487,39.968564,0.000268,0.000300,4035.059167,7.376708,0,0,0,0
8,4,best_fit,566,566,0,1.000000,1.000000,24.990026,39.968564,0.000251,0.000300,4252.893333,7.513946,0,0,0,0
8,0,local_regression_heuristic,548,548,0,1.000000,1.000000,14.751940,20.942282,0.000309,0.000400,5834.888333,10.647606,0,0,0,0
8,1,local_regression_heuristic,547,547,0,1.000000,1.000000,16.228468,20.942282,0.000279,0.000400,5649.154167,10.327521,0,0,0,0
8,2,local_regression_heuristic,584,584,0,1.000000,1.000000,15.100596,20.942282,0.000277,0.000400,6152.589167,10.535255,0,0,0,0
8,3,local_regression_heuristic,547,547,0,1.000000,1.000000,15.134309,20.942282,0.000340,0.000300,5685.712500,10.394356,0,0,0,0
8,4,local_regression_heuristic,566,566,0,1.000000,1.000000,16.438678,20.942282,0.000268,0.000300,5801.272500,10.249598,0,0,0,0
8,0,random_feasible,548,548,0,1.000000,1.000000,17.746986,31.121128,0.000119,0.000200,5156.865000,9.410338,0,0,0,0
8,1,random_feasible,547,547,0,1.000000,1.000000,19.773347,39.968564,0.000106,0.000200,4901.135000,8.960027,0,0,0,0
8,2,random_feasible,584,584,0,1.000000,1.000000,18.883172,31.121128,0.000107,0.000200,5348.395000,9.158211,0,0,0,0
8,3,random_feasible,547,547,0,1.000000,1.000000,18.158307,31.121128,0.000106,0.000200,4991.639167,9.125483,0,0,0,0
8,4,random_feasible,566,566,0,1.000000,1.000000,20.124907,39.968564,0.000109,0.000200,5126.191667,9.056876,0,0,0,0
8,0,ppo,531,0,531,0.000000,0.000000,0.000000,0.000000,3.985082,5.652600,0.000000,0.000000,0,0,0,531
8,1,ppo,544,0,544,0.000000,0.000000,0.000000,0.000000,3.754585,5.183500,0.000000,0.000000,0,0,0,544
8,2,ppo,586,0,586,0.000000,0.000000,0.000000,0.000000,3.750280,5.031900,0.000000,0.000000,0,0,0,586
8,3,ppo,566,0,566,0.000000,0.000000,0.000000,0.000000,3.751222,5.424300,0.000000,0.000000,0,0,0,566
8,4,ppo,559,0,559,0.000000,0.000000,0.000000,0.000000,3.797885,5.160200,0.000000,0.000000,0,0,0,559
12,0,best_fit,838,838,0,1.000000,1.000000,24.433958,39.968564,0.000158,0.000200,5750.358333,6.862003,0,0,0,0
12,1,best_fit,851,851,0,1.000000,1.000000,26.496455,39.968564,0.000174,0.000200,5989.057500,7.037670,0,0,0,0
12,2,best_fit,892,892,0,1.000000,1.000000,24.965891,39.968564,0.000178,0.000300,6037.831667,6.768870,0,0,0,0
